sep=,
000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000001,000000011101011110001100101011111111011001011011011100111110
000000000000000000000000000000000010,000000100011111010010001110101110111110010101111111001100101
000000000000000000000000000000000011,000000111110100100011101011110001000101011110100100101011011
000000000000000000000000000000000100,000001000110010110110010001111101110000111010111010111001010
000000000000000000000000000000000101,000001011011001000111110100100010001011110001100001011110100
000000000000000000000000000000000110,000001100101101100100011111010011001110101111000101110101111
000000000000000000000000000000000111,000001111000110010101111010001100110101100100011110010010001
000000000000000000000000000000001000,000010001100101011110100011001010101001000111110101000011101
000000000000000000000000000000001001,000010010001110101111000110010101010010001100101110100100011
000000000000000000000000000000001010,000010101111010001100101101100100010111010010001010001111000
000000000000000000000000000000001011,000010110010001111101001000111011101100011001010001101000110
000000000000000000000000000000001100,000011001010111101000110010110111011001111101001111111010111
000000000000000000000000000000001101,000011010111100011001010111101000100010110110010100011101001
000000000000000000000000000000001110,000011101001000111010111100011001100111101000110000110110010
000000000000000000000000000000001111,000011110100011001011011001000110011100100011101011010001100
000000000000000000000000000000010000,000000011001111000110010101101010100010011111010101110000111
000000000000000000000000000000010001,000000000100100110111110000110101011001010100001110010111001
000000000000000000000000000000010010,000000111010000010100011011000100011100001010101010111100010
000000000000000000000000000000010011,000000100111011100101111110011011100111000001110001011011100
000000000000000000000000000000010100,000001011111101110000000100010111010010100101101111001001101
000000000000000000000000000000010101,000001000010110000001100001001000101001101110110100101110011
000000000000000000000000000000010110,000001111100010100010001010111001101100110000010000000101000
000000000000000000000000000000010111,000001100001001010011101111100110010111111011001011100010110
000000000000000000000000000000011000,000010010101010011000110110100000001011011000100000110011010
000000000000000000000000000000011001,000010001000001101001010011111111110000010011111011010100100
000000000000000000000000000000011010,000010110110101001010111000001110110101001101011111111111111
000000000000000000000000000000011011,000010101011110111011011101010001001110000110000100011000001
000000000000000000000000000000011100,000011010011000101110100111011101111011100010011010001010000
000000000000000000000000000000011101,000011001110011011111000010000010000000101001000001101101110
000000000000000000000000000000011110,000011110000111111100101001110011000101110111100101000110101
000000000000000000000000000000011111,000011101101100001101001100101100111110111100111110100001011
000000000000000000000000000000100000,000000101011010101100100111110101000100001111101111110011110
000000000000000000000000000000100001,000000110110001011101000010101010111111000100110100010100000
000000000000000000000000000000100010,000000001000101111110101001011011111010011010010000111111011
000000000000000000000000000000100011,000000010101110001111001100000100000001010001001011011000101
000000000000000000000000000000100100,000001101101000011010110110001000110100110101010101001010100
000000000000000000000000000000100101,000001110000011101011010011010111001111111110001110101101010
000000000000000000000000000000100110,000001001110111001000111000100110001010100000101010000110001
000000000000000000000000000000100111,000001010011100111001011101111001110001101011110001100001111
000000000000000000000000000000101000,000010100111111110010000100111111101101001000011010110000011
000000000000000000000000000000101001,000010111010100000011100001100000010110000011000001010111101
000000000000000000000000000000101010,000010000100000100000001010010001010011011101100101111100110
000000000000000000000000000000101011,000010011001011010001101111001110101000010110111110011011000
000000000000000000000000000000101100,000011100001101000100010101000010011101110010100000001001001
000000000000000000000000000000101101,000011111100110110101110000011101100110111001111011101110111
000000000000000000000000000000101110,000011000010010010110011011101100100011100111011111000101100
000000000000000000000000000000101111,000011011111001100111111110110011011000101100000100100010010
000000000000000000000000000000110000,000000110010101101010110010011111100110010000111010000011001
000000000000000000000000000000110001,000000101111110011011010111000000011101011011100001100100111
000000000000000000000000000000110010,000000010001010111000111100110001011000000101000101001111100
000000000000000000000000000000110011,000000001100001001001011001101110100011001110011110101000010
000000000000000000000000000000110100,000001110100111011100100011100010010110101010000000111010011
000000000000000000000000000000110101,000001101001100101101000110111101101101100001011011011101101
000000000000000000000000000000110110,000001010111000001110101101001100101000111111111111110110110
000000000000000000000000000000110111,000001001010011111111001000010011010011110100100100010001000
000000000000000000000000000000111000,000010111110000110100010001010101001111010111001111000000100
000000000000000000000000000000111001,000010100011011000101110100001010110100011100010100100111010
000000000000000000000000000000111010,000010011101111100110011111111011110001000010110000001100001
000000000000000000000000000000111011,000010000000100010111111010100100001010001001101011101011111
000000000000000000000000000000111100,000011111000010000010000000101000111111101101110101111001110
000000000000000000000000000000111101,000011100101001110011100101110111000100100110101110011110000
000000000000000000000000000000111110,000011011011101010000001110000110000001111000001010110101011
000000000000000000000000000000111111,000011000110110100001101011011001111010110011010001010010101
000000000000000000000000000001000000,000001001111101011001000011111011001100111100011011110110101
000000000000000000000000000001000001,000001010010110101000100110100100110111110111000000010001011
000000000000000000000000000001000010,000001101100010001011001101010101110010101001100100111010000
000000000000000000000000000001000011,000001110001001111010101000001010001001100010111111011101110
000000000000000000000000000001000100,000000001001111101111010010000110111100000110100001001111111
000000000000000000000000000001000101,000000010100100011110110111011001000111001101111010101000001
000000000000000000000000000001000110,000000101010000111101011100101000000010010011011110000011010
000000000000000000000000000001000111,000000110111011001100111001110111111001011000000101100100100
000000000000000000000000000001001000,000011000011000000111100000110001100101111011101110110101000
000000000000000000000000000001001001,000011011110011110110000101101110011110110000110101010010110
000000000000000000000000000001001010,000011100000111010101101110011111011011101110010001111001101
000000000000000000000000000001001011,000011111101100100100001011000000100000100101001010011110011
000000000000000000000000000001001100,000010000101010110001110001001100010101000001010100001100010
000000000000000000000000000001001101,000010011000001000000010100010011101110001010001111101011100
000000000000000000000000000001001110,000010100110101100011111111100010101011010100101011000000111
000000000000000000000000000001001111,000010111011110010010011010111101010000011111110000100111001
000000000000000000000000000001010000,000001010110010011111010110010001101110100011001110000110010
000000000000000000000000000001010001,000001001011001101110110011001110010101101000010101100001100
000000000000000000000000000001010010,000001110101101001101011000111111010000110110110001001010111
000000000000000000000000000001010011,000001101000110111100111101100000101011111101101010101101001
000000000000000000000000000001010100,000000010000000101001000111101100011110011001110100111111000
000000000000000000000000000001010101,000000001101011011000100010110011100101010010101111011000110
000000000000000000000000000001010110,000000110011111111011001001000010100000001100001011110011101
000000000000000000000000000001010111,000000101110100001010101100011101011011000111010000010100011
000000000000000000000000000001011000,000011011010111000001110101011011000111100100111011000101111
000000000000000000000000000001011001,000011000111100110000010000000100111100101111100000100010001
000000000000000000000000000001011010,000011111001000010011111011110101111001110001000100001001010
000000000000000000000000000001011011,000011100100011100010011110101010000010111010011111101110100
000000000000000000000000000001011100,000010011100101110111100100100110110111011110000001111100101
000000000000000000000000000001011101,000010000001110000110000001111001001100010101011010011011011
000000000000000000000000000001011110,000010111111010100101101010001000001001001011111110110000000
000000000000000000000000000001011111,000010100010001010100001111010111110010000000100101010111110
000000000000000000000000000001100000,000001100100111110101100100001110001000110011110100000101011
000000000000000000000000000001100001,000001111001100000100000001010001110011111000101111100010101
000000000000000000000000000001100010,000001000111000100111101010100000110110100110001011001001110
000000000000000000000000000001100011,000001011010011010110001111111111001101101101010000101110000
