sep=,
sigma,max_mult,taux_reussite
0.312500,3,5.738706
0.187500,3,0.000000
0.437500,3,13.125763
0.250000,3,1.159951
0.562500,3,8.547009
0.375000,3,10.256410
0.687500,3,4.334554
0.500000,3,12.210012
0.812500,3,2.014652
0.625000,3,7.631258
0.937500,3,0.610501
0.750000,3,2.930403
0.875000,3,1.404151
1.000000,3,0.610501
0.062500,3,100.000000
0.125000,3,7.875458
0.437500,4,37.118437
0.562500,4,15.445665
0.312500,4,70.818071
0.500000,4,21.611722
0.375000,4,53.601954
0.187500,4,98.717949
0.687500,4,9.768010
0.625000,4,12.271062
0.812500,4,4.945055
0.250000,4,89.621490
0.937500,4,1.587302
0.750000,4,8.791209
0.875000,4,3.174603
1.000000,4,1.221001
0.062500,4,100.000000
0.125000,4,99.938950
0.437500,5,44.810745
0.562500,5,23.199023
0.312500,5,86.630037
0.687500,5,11.843712
0.187500,5,99.938950
0.500000,5,28.632479
0.812500,5,6.593407
0.625000,5,17.338217
0.375000,5,64.285714
0.937500,5,3.418803
0.250000,5,97.924298
0.750000,5,10.256410
0.875000,5,4.945055
1.000000,5,3.663004
0.062500,5,100.000000
