sep=,
000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000001,001100010100011111011111000000000000000000000000000000000001
000000000000000000000000000000000010,011000101000111000110111000000000000000000000000000000000010
000000000000000000000000000000000011,010100111100100111101000000000000000000000000000000000000011
000000000000000000000000000000000100,110001001001010101101110000000000000000000000000000000000100
000000000000000000000000000000000101,111101011101001010110001000000000000000000000000000000000101
000000000000000000000000000000000110,101001100001101101011001000000000000000000000000000000000110
000000000000000000000000000000000111,100101110101110010000110000000000000000000000000000000000111
000000000000000000000000000000001000,000110001011101011000101000000000000000000000000000000001000
000000000000000000000000000000001001,001010011111110100011010000000000000000000000000000000001001
000000000000000000000000000000001010,011110100011010011110010000000000000000000000000000000001010
000000000000000000000000000000001011,010010110111001100101101000000000000000000000000000000001011
000000000000000000000000000000001100,110111000010111110101011000000000000000000000000000000001100
000000000000000000000000000000001101,111011010110100001110100000000000000000000000000000000001101
000000000000000000000000000000001110,101111101010000110011100000000000000000000000000000000001110
000000000000000000000000000000001111,100011111110011001000011000000000000000000000000000000001111
000000000000000000000000000000010000,010001111011010000011000000000000000000000000000000000010000
000000000000000000000000000000010001,011101101111001111000111000000000000000000000000000000010001
000000000000000000000000000000010010,001001010011101000101111000000000000000000000000000000010010
000000000000000000000000000000010011,000101000111110111110000000000000000000000000000000000010011
000000000000000000000000000000010100,100000110010000101110110000000000000000000000000000000010100
000000000000000000000000000000010101,101100100110011010101001000000000000000000000000000000010101
000000000000000000000000000000010110,111000011010111101000001000000000000000000000000000000010110
000000000000000000000000000000010111,110100001110100010011110000000000000000000000000000000010111
000000000000000000000000000000011000,010111110000111011011101000000000000000000000000000000011000
000000000000000000000000000000011001,011011100100100100000010000000000000000000000000000000011001
000000000000000000000000000000011010,001111011000000011101010000000000000000000000000000000011010
000000000000000000000000000000011011,000011001100011100110101000000000000000000000000000000011011
000000000000000000000000000000011100,100110111001101110110011000000000000000000000000000000011100
000000000000000000000000000000011101,101010101101110001101100000000000000000000000000000000011101
000000000000000000000000000000011110,111110010001010110000100000000000000000000000000000000011110
000000000000000000000000000000011111,110010000101001001011011000000000000000000000000000000011111
000000000000000000000000000000100000,100011101111100000101001000000000000000000000000000000100000
000000000000000000000000000000100001,101111111011111111110110000000000000000000000000000000100001
000000000000000000000000000000100010,111011000111011000011110000000000000000000000000000000100010
000000000000000000000000000000100011,110111010011000111000001000000000000000000000000000000100011
000000000000000000000000000000100100,010010100110110101000111000000000000000000000000000000100100
000000000000000000000000000000100101,011110110010101010011000000000000000000000000000000000100101
000000000000000000000000000000100110,001010001110001101110000000000000000000000000000000000100110
000000000000000000000000000000100111,000110011010010010101111000000000000000000000000000000100111
000000000000000000000000000000101000,100101100100001011101100000000000000000000000000000000101000
000000000000000000000000000000101001,101001110000010100110011000000000000000000000000000000101001
000000000000000000000000000000101010,111101001100110011011011000000000000000000000000000000101010
000000000000000000000000000000101011,110001011000101100000100000000000000000000000000000000101011
000000000000000000000000000000101100,010100101101011110000010000000000000000000000000000000101100
000000000000000000000000000000101101,011000111001000001011101000000000000000000000000000000101101
000000000000000000000000000000101110,001100000101100110110101000000000000000000000000000000101110
000000000000000000000000000000101111,000000010001111001101010000000000000000000000000000000101111
000000000000000000000000000000110000,110010010100110000110001000000000000000000000000000000110000
000000000000000000000000000000110001,111110000000101111101110000000000000000000000000000000110001
000000000000000000000000000000110010,101010111100001000000110000000000000000000000000000000110010
000000000000000000000000000000110011,100110101000010111011001000000000000000000000000000000110011
