sep=,
poids,(x-1)(x-a),(x-a)(x-a2),(x-a2)(x-a4),a1,a0,a5
0,1,1,1,1,1,1
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,28,21,0,28,21
4,210,84,91,210,84,91
5,0,273,322,0,273,322
6,1638,924,875,1638,924,875
7,0,1956,1809,0,1956,1809
8,6468,2982,3129,6468,2982,3129
9,0,4340,4585,0,4340,4585
10,10878,5796,5551,10878,5796,5551
11,0,5796,5551,0,5796,5551
12,9310,4340,4585,9310,4340,4585
13,0,2982,3129,0,2982,3129
14,3570,1956,1809,3570,1956,1809
15,0,924,875,0,924,875
16,651,273,322,651,273,322
17,0,84,91,0,84,91
18,42,28,21,42,28,21
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,1,1,0,1,1
